Timestamp,Fx,Fy,Fz,Tx,Ty,Tz,Temperature
6242322301,-5.10E-05,-6.27E-05,5.29E-04,7.85E-06,-9.01E-04,6.90E-04,23.653791
6242332486,-7.73E-05,-5.45E-05,4.99E-04,1.97E-04,-4.93E-04,0.001203611,23.653791
6242342372,2.18E-05,1.81E-05,4.40E-04,7.13E-04,-0.001597545,0.00154752,23.653791
6242352464,1.37E-04,-4.95E-05,5.22E-04,4.31E-04,-0.001569184,0.002344182,23.653791
6242362580,1.91E-04,-1.68E-04,8.54E-04,5.90E-04,-0.002608274,0.002830832,23.653791
6242372561,2.77E-04,-8.91E-05,4.18E-04,4.02E-04,-0.003207764,0.002938083,23.653791
6242382632,1.76E-04,-6.24E-05,4.18E-04,6.51E-04,-0.002573353,0.00264701,23.653791
6242392714,1.27E-04,-1.33E-04,7.72E-04,8.88E-04,-0.002650894,0.003013582,23.653791
6242402848,6.88E-05,-1.24E-04,6.59E-04,4.92E-04,-0.002568387,0.002984539,23.653618
6242412758,6.93E-05,-2.20E-04,5.52E-04,-2.64E-04,-0.002390029,0.003236535,23.653618
6242422779,1.19E-04,-2.47E-04,2.64E-04,-4.22E-04,-0.001990836,0.002531963,23.653618
6242432817,2.10E-04,-2.68E-04,4.00E-04,-8.00E-04,-0.002204492,0.00168865,23.653618
6242442875,1.17E-04,-3.46E-04,6.69E-04,-3.19E-04,-0.001693449,0.002236225,23.653618
6242452898,1.68E-05,-2.77E-04,3.73E-04,-4.37E-04,-3.80E-04,0.002244879,23.653618
6242462898,1.50E-05,-1.39E-04,3.54E-04,-3.71E-05,1.08E-04,0.002313742,23.653618
6242473028,3.75E-05,-1.11E-04,8.49E-04,-2.89E-04,7.93E-04,0.001721847,23.653618
6242482998,7.55E-05,-1.12E-04,5.89E-04,-2.92E-04,0.001115316,0.00219019,23.653618
6242493258,1.86E-05,-6.21E-05,5.26E-04,7.04E-05,0.001831683,0.001574429,23.653618
6242503245,-7.59E-05,-6.65E-06,1.28E-04,-1.37E-04,0.00197497,0.001206682,23.655073
6242513221,-4.22E-05,1.55E-05,1.50E-04,2.80E-04,0.002291761,0.001739326,23.655073
6242523138,-2.36E-05,8.47E-06,4.41E-04,9.65E-04,0.001755203,0.001468649,23.655073
6242533499,-1.27E-04,3.62E-05,-7.11E-05,6.39E-04,0.002473851,0.002075304,23.655073
6242543259,-1.81E-04,4.58E-05,-9.87E-05,2.37E-04,0.00251266,0.001560058,23.655073
6242553345,-2.32E-04,-1.09E-04,1.23E-04,-1.27E-04,0.002187562,3.64E-04,23.655073
6242563310,-2.04E-04,-1.15E-04,-1.02E-04,-6.06E-04,0.001632554,-3.50E-05,23.655073
6242573377,-1.51E-04,-1.43E-04,-2.66E-04,-3.02E-04,0.001150736,9.32E-04,23.655073
6242583395,-2.41E-04,-5.98E-05,-6.33E-04,-3.84E-04,7.62E-04,7.57E-05,23.655073
6242593463,-1.73E-04,-7.78E-05,-4.08E-04,-4.12E-04,5.55E-04,0.001409248,23.655073
